flightId,flightNo,departureAirport,departureTime,arrivalAirport,arrivalTime,flyDur,historicalFlyDur,aircraftNo,aircraftType,isInternational,fixedSucessor
32830,ZH9914,TAO,2017-12-22 18:50:00,SZX,2017-12-22 22:10:00,03:25:00,03:25:00,B1518,738,FALSE,NULL
32835,ZH9279,XIY,2017-12-22 19:15:00,NNG,2017-12-22 21:45:00,02:30:00,02:30:00,B5617,738,FALSE,NULL
32836,ZH9280,NNG,2017-12-22 15:30:00,XIY,2017-12-22 18:00:00,02:30:00,02:30:00,B5617,738,FALSE,NULL
32849,ZH9301,SZX,2017-12-22 08:45:00,CGO,2017-12-22 11:25:00,02:26:00,02:26:00,B1972,738,FALSE,NULL
32850,ZH9302,CGO,2017-12-22 12:25:00,SZX,2017-12-22 14:50:00,02:35:00,02:35:00,B1972,738,FALSE,NULL
32853,ZH9305,SZX,2017-12-22 20:05:00,CGO,2017-12-22 22:35:00,02:26:00,02:26:00,B1758,738,FALSE,NULL
32855,ZH9875,SZX,2017-12-22 09:55:00,HGH,2017-12-22 11:50:00,01:55:00,01:55:00,B1755,738,FALSE,NULL
32856,ZH9876,HGH,2017-12-22 12:50:00,SZX,2017-12-22 15:15:00,02:24:00,02:24:00,B1755,738,FALSE,NULL
32857,ZH9877,SZX,2017-12-22 11:50:00,HGH,2017-12-22 13:45:00,01:55:00,01:55:00,B1973,738,FALSE,NULL
32858,ZH9878,HGH,2017-12-22 14:50:00,SZX,2017-12-22 17:20:00,02:24:00,02:24:00,B1973,738,FALSE,NULL
32859,ZH9879,SZX,2017-12-22 13:50:00,HGH,2017-12-22 15:50:00,01:55:00,01:55:00,B5380,738,FALSE,NULL
32860,ZH9880,HGH,2017-12-22 17:05:00,SZX,2017-12-22 19:25:00,02:24:00,02:24:00,B5380,738,FALSE,NULL
32861,ZH9881,SZX,2017-12-22 16:00:00,HGH,2017-12-22 18:05:00,01:55:00,01:55:00,B5106,739,FALSE,NULL
32862,ZH9882,HGH,2017-12-22 19:05:00,SZX,2017-12-22 21:20:00,02:24:00,02:24:00,B5106,739,FALSE,NULL
32863,ZH9883,SZX,2017-12-22 18:00:00,HGH,2017-12-22 20:00:00,01:55:00,01:55:00,B5613,738,FALSE,NULL
32864,ZH9884,HGH,2017-12-22 21:00:00,SZX,2017-12-22 23:30:00,02:24:00,02:24:00,B5613,738,FALSE,NULL
32865,ZH9225,CAN,2017-12-22 08:50:00,XIY,2017-12-22 11:40:00,02:50:00,02:50:00,B5413,738,FALSE,NULL
32866,ZH9225,XIY,2017-12-22 12:50:00,INC,2017-12-22 14:10:00,01:19:00,01:19:00,B5413,738,FALSE,NULL
32867,ZH9226,INC,2017-12-22 15:00:00,XIY,2017-12-22 16:25:00,01:18:00,01:18:00,B5413,738,FALSE,NULL
